Kode Astra,Nama Barang,Harga Beli,Harga Jual
06455K84901,06455K84902,56525.00,66500.00
06455K84902,"PAD SET, FR BRAKE",63373.81,85000.00
06455KPP901,PAD SET FR,44625.00,52500.00
06455KPP902,PAD SET FR BRAKE,181050.00,213000.00
06455KPPN01,PAD SET FR,51000.00,60000.00
06455KPPN02,"PAD SET, FR BRAKE",54400.00,64000.00
06455KR3404,PAD SET FR,46325.00,54500.00
06455KREK01,06455KREK02,95200.00,112000.00
06455KREK02,KAMPAS REM DEPAN,104151.24,121000.00
06455KVB401,PAD SET FR,49300.00,58000.00
06455KVB912,"PAD SET,FR BRAKE",70125.00,82500.00
06455KVBT01,PAD SET FR,46168.54,60000.00
06455KVY911,PAD SET FR,45475.00,53500.00
06455KW6844,"PAD SET,FR.BRAKE",247775.00,291500.00
06455KWB601,PAD SET FR,46325.00,54500.00
06455KWC901,PAD SET FR,52700.00,62000.00
06455KWF951,"PAD SET, FR.",243100.00,286000.00
06455KWN931,"PAD SET,FR",362525.00,426500.00
06455KYE901,PAD SET FR,46750.00,55000.00
06455KYJ901,PAD SET,411825.00,484500.00
06455KYJ911,06455KYJ912,1133900.00,1334000.00
06455KYJ912,"PAD SET, FR",850000.00,1000000.00
06455KZL931,06455KZL932,320450.00,377000.00
06455KZL932,PAD SET FR,255000.00,300000.00
06455MCA016,"PAD SET, FR",1023400.00,1204000.00
06455MGPD81,"PAD SET, FR. LBL",2080800.00,2448000.00
06455MGSD31,06455MGSD32,707625.00,832500.00
06455MGSD32,"PAD SET, FR. LBL",913325.00,1074500.00
06455MJED02,"PAD SET, FR.",851700.00,1002000.00
06455MJMD41,PAD SET FR,789650.00,929000.00
06455MJPG52,PAD SET FR LBL,813025.00,956500.00
06455MKCA01,PAD SET FR LBL,988125.00,1162500.00
06455MKFD41,PAD SET FR LBL,772650.00,909000.00
06455MKFD61,PAD SET FR LBL,2113525.00,2486500.00
06455MKHD01,PAD SET FR,796450.00,937000.00
06455MKKD01,PAD SET FR LBL,781150.00,919000.00
06455MKND51,PAD SET FR,634950.00,747000.00
06455MKPDQ1,PAD SET FR,313650.00,369000.00
06455MKRD11,PAD SET FR,819825.00,964500.00
06455MLCD01,"PAD SET,R FR BRAK",685950.00,807000.00
06456MCA016,"PAD SET, FR",440300.00,518000.00
06530GBGB20,"BALL ASSY,STEEL 6X23",41650.00,49000.00
06531GBGB20,"BALL ASSY,STEEL 6X29",51850.00,61000.00
06531KW6840,"BALL ASSY,8X18",60350.00,71000.00
06535041010,RACE STEERING KIT,86700.00,102000.00
06535GN5505,KONES,86043.17,102000.00
06535KTR900,RACE STEERING KIT,87975.00,103500.00
06570MKP306,SET MODULATOR,0.00,0.00
