Kode Jasa,Nama Jasa,Kode Group,Kode Sub Group,Estimasi Waktu,Tipe Waktu,Harga Jual
401,Cable Gas Cub  Ganti,LR,,15,MENIT,25000.00
402,"Cable Gas Sport , Ganti",LR,,15,MENIT,25000.00
403,Cable Rem Depab Cub  Ganti,LR,,15,MENIT,30000.00
404,Cable Rem RR Matic  Ganti,LR,,1,JAM,55000.00
405,"Cable Tachometer , Ganti",LR,,15,MENIT,12000.00
406,"Cable Choke , Ganti",LR,,15,MENIT,9000.00
408,stel rim depan,LR,,30,MENIT,20000.00
409,stel rim belakang,LR,,30,MENIT,20000.00
442,service dongkrak,LR,,15,MENIT,15000.00
44444,GANTI STANG SEHER,LR,,30,MENIT,75000.00
45225,GANTI LAHER KRU AS,LR,,30,MENIT,150000.00
458776,GANJEL TP,LR,,20,MENIT,15000.00
500,ganti Tire RR,LR,,10,MENIT,20000.00
501,ganti Tire RR Matic,LR,,20,MENIT,20000.00
502,ganti Tire FR,LR,,15,MENIT,20000.00
503,"Bos Gear , Ganti",LR,,30,MENIT,25000.00
504,"Brake Fluid , Ganti",LR,,25,MENIT,25000.00
505,"Cluht Matic ,Ganti",LR,,1,JAM,55000.00
506,"Cussion Assy , Ganti",LR,,45,MENIT,25000.00
507,"Damper Set , Ganti",LR,,10,MENIT,10000.00
508,"Drive Chain , Ganti",LR,,25,MENIT,15000.00
509,"Drive Chain Kit , Ganti",LR,,25,MENIT,40000.00
510,"Face/Boss Comp Moveable , Ganti",LR,,15,MENIT,35000.00
511,"Box/Gear Speedometer , Ganti",LR,,10,MENIT,8000.00
512,"Hanfat , Ganti",LR,,10,MENIT,5000.00
513,"Hub Whell , Ganti",LR,,90,MENIT,8000.00
514,Ganti Kampas Rem Belakang,LR,,20,MENIT,20000.00
515,"Brake Shoe Matic , Ganti",LR,,30,MENIT,18000.00
516,"Bearing 6902 , Ganti",LR,,40,MENIT,35000.00
517,"Bearing Roda Belakang , Ganti",LR,,30,MENIT,17000.00
518,Bearing Roda Depan  Ganti,LR,,20,MENIT,25000.00
519,GANTI MASTER REM KANAN,LR,,45,MENIT,35000.00
520,"Muffler , Ganti",LR,,15,MENIT,20000.00
521,Pad Set Ganti,LR,,30,MENIT,20000.00
522,Race Steering Ganti/GEMUK,LR,,1,JAM,85000.00
523,"Hub Whell , Ganti",LR,,1,JAM,25000.00
524,"Rim / Cast Whell , Ganti",LR,,1,JAM,12000.00
52444,TIRE  PCX adv vario160,LR,,30,MENIT,30000.00
525,"Seal Shock Depan , Ganti",LR,,45,MENIT,20000.00
526,"Sproket Driven , Ganti",LR,,15,MENIT,20000.00
527,"Stang Kemudi , Ganti",LR,,20,MENIT,40000.00
528,"Swing Arm , Ganti",LR,,1,JAM,20000.00
529,"Belt Drive , Ganti",LR,,45,MENIT,35000.00
531,Senter T,LR,,1,HARI,175000.00
532,Stel Kones PCX/ADV/vario160,LR,,30,MENIT,40000.00
533,"Spring Fork Depan , Ganti",LR,,25,MENIT,8000.00
534,"Adjuster Chain , Ganti",LR,,5,MENIT,3000.00
535,"Disk Brake , Ganti",LR,,10,MENIT,15000.00
536,"Pedal Brake , Ganti",LR,,15,MENIT,8000.00
537,"Pedal Tranmisi , Ganti",LR,,5,MENIT,3000.00
538,Ganti Sping Brake,LR,,20,MENIT,10000.00
539,Ganti Stand Main,LR,,30,MENIT,10000.00
540,Ganti BarSide Stand,LR,,15,MENIT,8000.00
541,Ganti Bar comp Step,LR,,15,MENIT,5000.00
542,Ganti Ban Dalam,LR,,10,MENIT,8000.00
543,Ganti Pad Set RR,LR,,20,MENIT,20000.00
544,Ganti Kampas Rem Depan,LR,,20,MENIT,25000.00
545,GANTI CUSSION ASSY MATIC,LR,,20,MENIT,15000.00
55555,PASANG KRAN BENSIN,LR,,45,HARI,35000.00
55666,injector assy fuel,LS,,20,MENIT,35000.00
599,ROLLER GANTI,LR,,30,MENIT,42000.00
600,Ganti Cover Fr,LR,,10,MENIT,15000.00
601,ganti cover rr,LR,,10,MENIT,8000.00
602,Ganti Cover Fr Matic,LR,,25,MENIT,20000.00
603,Ganti fender Depan,LR,,15,MENIT,10000.00
604,Ganti fender belakang,LR,,15,MENIT,45000.00
605,Ganti cover lower matic,LR,,15,MENIT,15000.00
606,ganti cover inner matic,LR,,15,MENIT,50000.00
607,ganti cover body,LR,,20,MENIT,12000.00
608,"Step Set Floor , Ganti",LR,,15,MENIT,35000.00
609,Ganti Box Vario,LR,,15,MENIT,10000.00
708,Ganti Kulit Sadel,LR,,30,MENIT,15000.00
88888,SENTER STANG STIR,LR,,45,MENIT,30000.00
A0023,KOLTER BLOK,LR,,1,JAM,200000.00
A3652,COR KRINGKIS,LR,,1,HARI,165000.00
A45698,GANTI BAN BLKNG PCX/ADV/VARIO160,LR,,20,MENIT,25000.00
AMYES001,Promo Injector Cleaner YES,LR,,15,MENIT,25000.00
AR,KELISTRIKAN,LR,,30,HARI,15000.00
AS,SEAL SHOCK DEPAN GANTI,LR,,45,MENIT,50000.00
ASS1,After Sales Service/ Servis Gratis 1,ASS1,,18,MENIT,18000.00
ASS2,After Sales Service/ Servis Gratis 2,ASS2,,18,MENIT,18000.00
ASS3,After Sales Service/ Servis Gratis 3,ASS3,,18,MENIT,18000.00
ASS4,After Sales Service/ Servis Gratis 4,ASS4,,18,MENIT,18000.00
BBRBS,BERSIHIN TROTTOL BODY,LR,,20,MENIT,20000.00
BENSIN,PREMIUM PCX,OTHER,,10,MENIT,20000.00
BGS,PASANG BAGASI,OTHER,,20,MENIT,10000.00
BLDR,BLEDING REM,LR,,20,MENIT,20000.00
bm,belah mesin,HR,,1,JAM,150000.00
BONKAR OLI,BONGKAR OLI GARDAN,HR,,45,HARI,150000.00
BTPNAT016,BTPN MATIC OLI MESIN SPX08L,LR,,15,MENIT,5000.00
BTPNAT017,BTPN MATIC BUSI,LR,,15,MENIT,6000.00
BTPNAT018,BTPN MATIC OLI GARDAN FINAL GEAR,LR,,15,MENIT,14000.00
BTPNAT019,BTPN MATIC ENGINE FLUSH,LR,,15,MENIT,0.00
BTPNAT020,BTPN MATIC RADIATOR COOLANT,LR,,15,MENIT,34000.00
BTPNAT021,BTPN MATIC GANTI KANVAS REM DPN,LR,,20,MENIT,37000.00
BTPNAT022,BTPN MATIC GANTI KANVAS REM BLK,LR,,20,MENIT,37000.00
BTPNAT023,BTPN MATIC SARINGAN UDARA,LR,,15,MENIT,14000.00
