Kode Astra,Nama Barang,Kode Group,Kode Sub Group,Kode Satuan,Kode Rak,Harga Jual,Discount
07000T400000,TORX T40,HGP,,PCS,,45100.00,15
07000T450000,TORX T45,HGP,,PCS,,61400.00,15
0702S002000IN,O2 SENSOR WRENCH,HGP,,PCS,,303000.00,15
070AATBA0100,"WRENCH, FUEL SENDER",HGP,,PCS,,2723000.00,15
070MAK640100,FORK BOLT WRENCH 41,HGP,,PCS,,1767000.00,15
070MAK640100IN,FORK BOLT WRENCH 41,HGP,,PCS,,0.00,15
070MAMGE0101,LOCK NUT WRENCH 42/56 MM,HGP,,PCS,,3064000.00,15
070MAMGE0201,SOCKET WRENCH 43 MM,HGP,,PCS,,1192000.00,15
070MAMGP0100,FORK CAP WRENCH,HGP,,PCS,,413000.00,15
070MAMKC0100,LOCK NUT STR. STEM WRENCH,HGP,,PCS,,2889000.00,15
070MAMKS0100,FORK BOLT WRENCH,HGP,,PCS,,0.00,15
070MAMKS0200,PIN TYPE WRENCH,HGP,,PCS,,0.00,15
070MBK1B0100IN,UNIVERSAL HOLDER,HGP,,PCS,,698000.00,15
070MBMCS0100,SHAFT HOLDER,HGP,,PCS,,1971000.00,15
070MBMEL0100,ROTOR HOLDER,HGP,,PCS,,1028000.00,15
070MBMELC100,FLYWHEEL HOLDER,HGP,,PCS,,1033000.00,15
070MBMFL0100,CLUTCH HOLDER,HGP,,PCS,,852000.00,15
070MBMGP0100,ROD GUIDE CASE WRENCH,HGP,,PCS,,938000.00,15
070MBMJC0100,ROD GUIDE CASE WRENCH,HGP,,PCS,,1402000.00,15
070MBMJT0100,ECC. SHAFT HLDR P.D. 25.5,HGP,,PCS,,0.00,15
070MB-MJT0200,HOLDER CLUTCH CTR P.D.70,HGP,,PCS,,0.00,15
070MBMJT0300,COLLAR PLUNGER,HGP,,PCS,,0.00,15
070MBMJT0400,HOLDER FLYWHEEL 36MM,HGP,,PCS,,0.00,15
070MBMKC0100,SHAFT HOLDER 31.5?17?1.75,HGP,,PCS,,1804000.00,15
070MBMKS0100,ROD GUIDE WRENCH,HGP,,PCS,,0.00,15
070MCMFR0100,"BEARING REMOVER SET, 22 MM",HGP,,PCS,,1703000.00,15
070MCMGE0101,PINION SHAFT ATTACHMENT,HGP,,PCS,,881000.00,15
070MDK200100,"OIL SEAL DRIVER, 31 MM",HGP,,PCS,,1061000.00,15
070MDMKC0100,DRIVER ATTACHMENT BRG 72MM,HGP,,PCS,,586000.00,15
070MEK1B0100IN,CLUTCH SPRING COMPRESSOR,HGP,,PCS,,1483000.00,15
070MEMCW0100,VALVE SPRING COMP. ATTCH,HGP,,PCS,,953000.00,15
070MEMJT0100,COMPRESSOR ONE WAY CLUTCH,HGP,,PCS,,0.00,15
070MFKTWR100,METAL INSTALLER SET,HGP,,PCS,,6997000.00,15
070MFKYJ0100,METAL INSTALLER SET,HGP,,PCS,,2253000.00,15
070MFMBZC110,FORK SPRING COLLAR HOLDER,HGP,,PCS,,1003000.00,15
070MFMBZC110IN,SPRING COLLAR HOLDER,HGP,,PCS,,0.00,15
070MFMBZC120,DAMPER ROD HOLDER,HGP,,PCS,,848000.00,15
